12702,12202,43,150.869,-33.862,151.279,-33.640
12703,11502,19,150.931,-33.969,151.015,-33.548
11601,12501,1640,150.908,-33.769,151.045,-33.855
12702,12703,4288,150.869,-33.862,150.931,-33.969
11901,11603,372,151.015,-33.928,150.839,-33.775
12403,12405,2737,150.679,-33.811,150.786,-33.784
11901,12701,169,151.015,-33.928,150.747,-33.947
12301,11701,373,150.720,-34.055,151.200,-33.945
12202,11502,16,151.279,-33.640,151.015,-33.548
11903,11904,2883,151.078,-33.969,151.133,-33.960
12703,11601,392,150.931,-33.969,150.908,-33.769
12801,12101,323,151.144,-34.036,151.187,-33.807
12101,12702,70,151.187,-33.807,150.869,-33.862
12102,12002,103,151.150,-33.622,151.168,-33.871
11501,12503,1259,150.995,-33.731,150.974,-33.848
12702,11902,440,150.869,-33.862,151.089,-33.924
11502,12101,250,151.015,-33.548,151.187,-33.807
11501,12404,463,150.995,-33.731,150.747,-33.624
11701,12201,13,151.200,-33.945,151.270,-33.800
11901,12403,82,151.015,-33.928,150.679,-33.811
11504,11901,94,150.893,-33.621,151.015,-33.928
11904,12801,1428,151.133,-33.960,151.144,-34.036
11904,12103,91,151.133,-33.960,151.151,-33.735
11702,11501,84,151.161,-33.910,150.995,-33.731
11802,11802,7221,151.242,-33.943,151.242,-33.943
12403,12504,2202,150.679,-33.811,150.992,-33.797
12103,12101,3576,151.151,-33.735,151.187,-33.807
12202,11601,81,151.279,-33.640,150.908,-33.769
11502,12501,201,151.015,-33.548,151.045,-33.855
12501,12701,25,151.045,-33.855,150.747,-33.947
11902,11502,14,151.089,-33.924,151.015,-33.548
12501,11603,281,151.045,-33.855,150.839,-33.775
12003,11501,336,151.106,-33.886,150.995,-33.731
12701,12405,292,150.747,-33.947,150.786,-33.784
12103,12501,510,151.151,-33.735,151.045,-33.855
12002,11601,94,151.168,-33.871,150.908,-33.769
12801,12501,497,151.144,-34.036,151.045,-33.855
11603,12405,1458,150.839,-33.775,150.786,-33.784
11904,12104,359,151.133,-33.960,151.227,-33.831
12101,12302,31,151.187,-33.807,150.854,-34.078
11701,11801,666,151.200,-33.945,151.256,-33.882
12102,11701,134,151.150,-33.622,151.200,-33.945
12701,12504,977,150.747,-33.947,150.992,-33.797
11902,11601,149,151.089,-33.924,150.908,-33.769
12301,12002,41,150.720,-34.055,151.168,-33.871
12501,12403,125,151.045,-33.855,150.679,-33.811
12101,12203,858,151.187,-33.807,151.230,-33.710
12001,11501,273,151.115,-33.853,150.995,-33.731
12502,11901,354,151.047,-33.793,151.015,-33.928
12002,11502,9,151.168,-33.871,151.015,-33.548
11601,12101,581,150.908,-33.769,151.187,-33.807
11501,12602,3300,150.995,-33.731,151.114,-33.803
12101,11703,4285,151.187,-33.807,151.200,-33.889
11701,12802,33,151.200,-33.945,151.044,-34.085
11603,12504,2265,150.839,-33.775,150.992,-33.797
11602,11904,49,150.861,-33.699,151.133,-33.960
11501,11702,91,150.995,-33.731,151.161,-33.910
11902,11801,316,151.089,-33.924,151.256,-33.882
11504,11504,1540,150.893,-33.621,150.893,-33.621
11802,11602,6,151.242,-33.943,150.861,-33.699
12001,12002,1152,151.115,-33.853,151.168,-33.871
12101,12403,41,151.187,-33.807,150.679,-33.811
12301,11501,172,150.720,-34.055,150.995,-33.731
11703,11902,210,151.200,-33.889,151.089,-33.924
12501,12203,126,151.045,-33.855,151.230,-33.710
12104,12501,287,151.227,-33.831,151.045,-33.855
12203,12703,94,151.230,-33.710,150.931,-33.969
12002,12802,34,151.168,-33.871,151.044,-34.085
12501,11703,997,151.045,-33.855,151.200,-33.889
11901,12702,1174,151.015,-33.928,150.869,-33.862
